question,category,option,number
"Is it easily possible to describe the project bibliographically along the schema responsible editors, publishing/hosting institution, year(s) of publishing?",,yes,36
,,no,4
"Are the contributors (editors, institutions, associates) of the project fully documented?",,yes,37
,,no,3
"Does the project list contact persons?",,yes,33
,,no,7
"Is the selection of materials of the project explicitly documented?",,yes,37
,,no,3
"Is the selection by and large reasonable?",,yes,39
,,no,1
"Does the documentation include information about the long term sustainability of the basic data (archiving of the data)?",,yes,16
,,no,24
"Are the aims and purposes of the project explicitly documented?",,yes,40
,,no,0
"Are the methods employed in the project explicitly documented?",,yes,31
,,no,9
"Does the project document which data model (e.g. TEI) has been used and for what reason?",,yes,25
,,no,15
"Does the project offer help texts concerning the use of the project?",,yes,29
,,no,11
"Does the project supply citation guidelines (i.e. how to cite the project or a part of it)?",,yes,30
,,no,10
"Does the editon regard itself as a completed project (i.e. not promise further modifications and additions)?",,yes,19
,,no,21
"Does the project provide information about institutional support for the curation and sustainability of the project?",,yes,27
,,no,13
"Has the material been previously edited (in print or digitally)?",,yes,30
,,no,10
"Does the edition make use of these previous editions?",,yes,37
,,no,3
,,not applicable,0
"Does the project offer an introduction to the subject-matter (the author(s), the work, its history, the theme, etc.) of the project?",,yes,34
,,no,6
"Does the project offer a bibliography?",,yes,31
,,no,9
"Does the project offer a scholarly commentary (e.g. notes on unclear passages, interpretation, etc.)?",,yes,23
,,no,17
"Does the project include or link to external resources with contextual material?",,yes,21
,,no,19
"Does the project offer images of digitised sources?",,yes,38
,,no,2
"Does the project offer images of an acceptable quality?",,yes,35
,,no,3
,,not applicable,2
"Is the text fully transcribed?",,yes,38
,,no,2
"Does the project offer texts of an acceptable quality (typos, errors, etc.)?",,yes,39
,,no,1
"Does the project feature compilations indices, registers or visualisations that offer alternative ways to access the material?",,yes,30
,,no,10
"Which kinds of documents are at the basis of the project?",single_manuscript,yes,10
,,no,30
,single_work,yes,14
,,no,26
,collection_of_texts,yes,10
,,no,30
,collected_works,yes,5
,,no,35
,papers,yes,3
,,no,37
,archival_holding,yes,5
,,no,35
,charters,yes,1
,,no,39
,letters,yes,14
,,no,26
,diary,yes,5
,,no,35
,#other,yes,8
,,no,32
"What era(s) do the documents belong to?",classics,yes,3
,,no,37
,medieval,yes,7
,,no,33
,early_modern,yes,12
,,no,28
,modern,yes,30
,,no,10
"Which perspective(s) do the editors take towards the edited material? How can the edition be classified in general terms?",history,yes,3
,,no,37
,philology_literary_studies,yes,25
,,no,15
,philosophy_theology,yes,6
,,no,34
,history_of_science,yes,2
,,no,38
,musicology,yes,2
,,no,38
,art_history,yes,7
,,no,33
,#other,yes,3
,,no,37
"Does the project offer any spin-offs?",app,yes,0
,,no,40
,mobile,yes,3
,,no,37
,PDF,yes,10
,,no,30
,#other,yes,5
,,no,35
,#none,yes,21
,,no,19
"By which categories does the project offer to browse the contents?",authors,yes,12
,,no,28
,works,yes,17
,,no,23
,versions,yes,10
,,no,30
,structure,yes,10
,,no,30
,pages,yes,16
,,no,24
,browse_by_documents,yes,16
,,no,24
,type_of_material,yes,8
,,no,32
,browse_by_images,yes,6
,,no,34
,dates,yes,17
,,no,23
,persons,yes,16
,,no,24
,places,yes,17
,,no,23
,#other,yes,8
,,no,32
"Does the project offer a simple search?",,yes,31
,,no,9
"Does the project offer an advanced search?",,yes,23
,,no,17
"Does the search support the use of wildcards?",,yes,17
,,no,13
,,not applicable,10
"Does the search offer an index of the searched field?",,yes,18
,,no,13
,,not applicable,9
"Does the search offer autocompletion or suggest functionalities?",,yes,10
,,no,24
,,not applicable,6
"Does the project offer help texts for the search?",,yes,20
,,no,13
,,not applicable,7
"Who is the intended audience of the project?",scholars,yes,38
,,no,2
,interested_public,yes,29
,,no,11
"Which type fits best for the reviewed project?",facsimile_edition,yes,2
,,no,38
,archive_edition,yes,4
,,no,36
,documentary_edition,yes,3
,,no,37
,diplomatic_edition,yes,8
,,no,32
,genetic_edition,yes,3
,,no,37
,work_critical_edition,yes,3
,,no,37
,text_critical_edition,yes,5
,,no,35
,enriched_edition,yes,7
,,no,33
,database_edition,yes,1
,,no,39
,digital_library,yes,1
,,no,39
,typology_collection_of_texts,yes,0
,,no,40
,#other,yes,1
,,no,39
,#none,yes,0
,,no,40
"In how far is the text critically edited?",transmission_examined,yes,9
,,no,31
,palaeographic_annotations,yes,6
,,no,34
,normalization,yes,17
,,no,23
,variants,yes,11
,,no,29
,emendation,yes,15
,,no,25
,commentary_notes,yes,17
,,no,23
,#other,yes,4
,,no,36
,#none,yes,6
,,no,34
"Is the data encoded in XML?",,yes,33
,,no,7
"Is the project employing a standardized data model (e.g. TEI)?",,yes,29
,,no,11
"Which kinds or forms of text are presented?",facsimiles,yes,33
,,no,7
,diplomatic_transcription,yes,26
,,no,14
,edited_text,yes,22
,,no,18
,translations,yes,2
,,no,38
,commentaries,yes,12
,,no,28
,semantic_data,yes,6
,,no,34
"Are there persistent identifiers and an addressing system for the edition and/or parts/objects of it and which mechanism is used to that end?",DOI,yes,2
,,no,38
,ARK,yes,0
,,no,40
,URN,yes,0
,,no,40
,PURL.ORG,yes,0
,,no,40
,#other,yes,2
,,no,38
,persistent_URLs,yes,19
,,no,21
,#none,yes,17
,,no,23
"Are there technical interfaces like OAI-PMH, REST etc., which allow the reuse of the data of the project in other contexts?",OAI-PMH,yes,0
,,no,40
,REST,yes,3
,,no,37
,general_API,yes,0
,,no,40
,#other,yes,5
,,no,35
,#none,yes,32
,,no,8
"Is the edition Open Access?",,yes,37
,,no,3
"Is the basic data (e.g. the XML) of the project accessible for each part of the edition (e.g. for a page)?",,yes,16
,,no,24
"Can the entire raw data of the project be downloaded (as a whole)?",,yes,11
,,no,29
"Can you use the data with other tools useful for this kind of content?",,yes,18
,,no,22
"Are the rights to (re)use the content declared?",,yes,27
,,no,13
"Under what license are the contents released?",CC0,yes,0
,,no,40
,CC-BY,yes,5
,,no,35
,CC-BY-ND,yes,0
,,no,40
,CC-BY-NC,yes,1
,,no,39
,CC-BY-SA,yes,1
,,no,39
,CC-BY-NC-ND,yes,2
,,no,38
,CC-BY-NC-SA,yes,6
,,no,34
,PDM,yes,0
,,no,40
,#other,yes,1
,,no,39
,no_license,yes,21
,,no,19
,multiple_licenses,yes,3
,,no,37
