question,category,option,number
"Can the text collection be identified in terms similar to traditional bibliographic descriptions (title, responsible editors, institution, date(s) of publication, identifier/address)?",,yes,13
,,no,2
"Are the contributors (editors, institutions, associates) of the project documented?",,yes,13
,,no,2
"Is contact information given?",,yes,12
,,no,3
"Is there a description of the aims and contents of the text collection?",,yes,14
,,no,1
"What is the purpose of the text collection?",research,yes,12
,,no,3
,teaching,yes,8
,,no,7
,general_purpose,yes,7
,,no,8
,#other,yes,0
,,no,15
"What kind of research does the collection allow to conduct primarily?",qualitative,yes,8
,,no,7
,quantitative,yes,7
,,no,8
,#none,yes,0
,,no,15
"How does the text collection classify itself (e.g. in its title or documentation)?",collection,yes,5
,,no,10
,corpus,yes,6
,,no,9
,digital_archive,yes,1
,,no,14
,digital_library,yes,1
,,no,14
,digital_edition,yes,0
,,no,15
,portal,yes,1
,,no,14
,database,yes,3
,,no,12
,no_classification,yes,2
,,no,13
,#other,yes,2
,,no,13
"To which field(s) of research does the text collection contribute?",field_history,yes,6
,,no,9
,field_literary_studies,yes,10
,,no,5
,field_linguistics,yes,6
,,no,9
,field_musicology,yes,0
,,no,15
,field_art_history,yes,3
,,no,12
,field_archaeology,yes,3
,,no,12
,field_philosophy,yes,2
,,no,13
,field_religious_studies,yes,3
,,no,12
,field_sociology,yes,0
,,no,15
,#other,yes,4
,,no,11
,#none,yes,0
,,no,15
"What era(s) do the texts belong to?",era_classics,yes,2
,,no,13
,era_medieval,yes,5
,,no,10
,era_early_modern,yes,9
,,no,6
,era_modern,yes,9
,,no,6
,era_contemporary,yes,5
,,no,10
"What languages are the texts in?",arabic,yes,1
,,no,14
,chinese,yes,0
,,no,15
,danish,yes,0
,,no,15
,english,yes,6
,,no,9
,finnish,yes,0
,,no,15
,french,yes,6
,,no,9
,german,yes,7
,,no,8
,greek,yes,4
,,no,11
,hebrew,yes,0
,,no,15
,hindi,yes,0
,,no,15
,italian,yes,4
,,no,11
,japanese,yes,0
,,no,15
,latin,yes,5
,,no,10
,norwegian,yes,0
,,no,15
,polish,yes,0
,,no,15
,portuguese,yes,1
,,no,14
,russian,yes,1
,,no,14
,spanish,yes,3
,,no,12
,swedish,yes,2
,,no,13
,turkish,yes,0
,,no,15
,#other,yes,3
,,no,12
"What kind of texts are in the collection?",literary_works,yes,10
